[2025-02-03T15:33:34.167+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-02-03T15:33:34.187+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-03T15:33:24.577105+00:00 [queued]>
[2025-02-03T15:33:34.200+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-03T15:33:24.577105+00:00 [queued]>
[2025-02-03T15:33:34.201+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-02-03T15:33:34.360+0000] {taskinstance.py:2889} INFO - Executing <Task(BranchPythonOperator): verify_file_reliability> on 2025-02-03 15:33:24.577105+00:00
[2025-02-03T15:33:34.367+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=9150) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-02-03T15:33:34.369+0000] {standard_task_runner.py:72} INFO - Started process 9152 to run task
[2025-02-03T15:33:34.369+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'directory_and_file_verification_dag', 'verify_file_reliability', 'manual__2025-02-03T15:33:24.577105+00:00', '--job-id', '392', '--raw', '--subdir', 'DAGS_FOLDER/my_directory_and_file_checker.py', '--cfg-path', '/tmp/tmpwoff_z4z']
[2025-02-03T15:33:34.370+0000] {standard_task_runner.py:105} INFO - Job 392: Subtask verify_file_reliability
[2025-02-03T15:33:34.408+0000] {task_command.py:467} INFO - Running <TaskInstance: directory_and_file_verification_dag.verify_file_reliability manual__2025-02-03T15:33:24.577105+00:00 [running]> on host 003b7fbea265
[2025-02-03T15:33:34.478+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='directory_and_file_verification_dag' AIRFLOW_CTX_TASK_ID='verify_file_reliability' AIRFLOW_CTX_EXECUTION_DATE='2025-02-03T15:33:24.577105+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-02-03T15:33:24.577105+00:00'
[2025-02-03T15:33:34.479+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2025-02-03T15:33:34.480+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2025-02-03T15:33:34.481+0000] {logging_mixin.py:190} INFO - Current task name:verify_file_reliability state:running start_date:2025-02-03 15:33:34.188117+00:00
[2025-02-03T15:33:34.481+0000] {logging_mixin.py:190} INFO - Dag name:directory_and_file_verification_dag and current dag run status:running
[2025-02-03T15:33:34.482+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-02-03T15:33:34.482+0000] {baseoperator.py:421} WARNING - BranchPythonOperator.execute cannot be called outside TaskInstance!
[2025-02-03T15:33:34.495+0000] {my_directory_and_file_checker.py:57} ERROR - ❌ Erreur d'encodage (utf-8) pour Écritures.csv: 'utf-8' codec can't decode byte 0xb0 in position 1: invalid start byte
[2025-02-03T15:33:34.561+0000] {logging_mixin.py:190} INFO - 
📂 Contenu du fichier (ISO-8859-1): Écritures.csv
[2025-02-03T15:33:34.604+0000] {logging_mixin.py:190} INFO -   Date comptabilisation       N° lot  ... KOR par Réception KOR INPUT
0            31/12/2024  A-BNDK 2304  ...             0,000     0,000
1            31/12/2024  B-BNDK 2304  ...             0,000     0,000
2            31/12/2024  C-BNDK 2304  ...             0,000     0,000
3            31/12/2024  D-BNDK 2304  ...             0,000     0,000
4            31/12/2024  E-BNDK 2304  ...             0,000     0,000

[5 rows x 27 columns]
[2025-02-03T15:33:34.606+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T15:33:34.607+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T15:33:34.608+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T15:33:34.609+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T15:33:34.610+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T15:33:34.610+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-31
[2025-02-03T15:33:34.611+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T15:33:34.612+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T15:33:34.613+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T15:33:34.613+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T15:33:34.616+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T15:33:34.618+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-30
[2025-02-03T15:33:34.618+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-18
[2025-02-03T15:33:34.619+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-03T15:33:34.620+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-03T15:33:34.620+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-12
[2025-02-03T15:33:34.621+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-03T15:33:34.622+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-17
[2025-02-03T15:33:34.623+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-03T15:33:34.623+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-28
[2025-02-03T15:33:34.624+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T15:33:34.625+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T15:33:34.626+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T15:33:34.626+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T15:33:34.627+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T15:33:34.628+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T15:33:34.629+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-27
[2025-02-03T15:33:34.630+0000] {logging_mixin.py:190} INFO - ✅jean645888258 2024-12-26
